Maska Masala,"Plot 3, Block A-3, Sector 110, Noida",North Indian,₹700,11 AM to 12 Midnight,3.4
Vinny's Restro Bar,"B 10, Sector 18, Noida","Chinese, North Indian","₹1,300",7 PM to 11:30 PM,2.8
New Town Lounge - Park Plaza,"Park Plaza Hotel, C Block, Sector 55, Noida",Continental,"₹2,000",11 AM to 11 PM (Mon-Sun),3.4
Sky Grill,"2nd Floor, Tulip Mall, Sector 48, Noida","North Indian, Chinese",₹700,11 AM to 11 PM,3.2
Vegas 50,"B-1/17, First Floor, Central Market, Sector 50, Noida","Mexican, Italian, Continental, North Indian, Chinese",₹500,8 AM to 10 PM,2.8
Mithaas Sweets,"RN-1, B Block, Sector 62, Noida","Mithai, Street Food",₹200,12 Noon to 12 Midnight,3.2
Matrix - Jaypee Greens,"Jaypee Greens Golf & Spa Resort, G Block, Surajpur, Noida",Finger Food,"₹2,000",9 AM to 9 PM,3.1
Mints - Radisson Blu,"Radisson Blu Hotel, C-8, 2nd Cross Ave Road, Kasna, Greater Noida, Noida",Cafe,"₹1,000",11 AM to 11 PM,3.3
El Posto,"Shop 19, Amrapali Zodiac, Sector 120, Near Sector 72, Sector 72, Noida",Bakery,₹350,11 AM to 8 PM,3.3
Baker's Studio - Jaypee Greens,"Jaypee Greens Golf & Spa Resort, G Block, Surajpur, Noida",Bakery,"₹1,000",7:30 AM to 10:30 PM,3.1
Grand Heritage Resort,"R-4, Near City Park, Greater Noida, Noida","North Indian, Chinese","₹1,000","12 Noon to 10:30 PM (Mon, Wed-Sun), Tue Closed",3.1
Chakhna,"G-21, MSX Tower 1,  Alpha 1, Commercial  Belt, Greater Noida, Noida",North Indian,₹500,11 AM to 10 PM,2.8
Kar C Lounge & Restaurant,"2nd Floor Terrace, C Block, NRI City, Omaxe Mall, Pari Chowk, Greater Noida, Noida","Cafe, Fast Food, North Indian, Italian, Chinese",₹600,12 Noon to 11:30 PM,3.1
Scarlet Bar - Radisson Blu,"Radisson Blu Hotel, C-8, 2nd Cross Ave Road, Kasna, Greater Noida, Noida",Finger Food,"₹2,000",11 AM to 11 PM,2.9
Kabab Brigade,"G-12, Krishna Apra Plaza, Sector 18, Noida","North Indian, Mughlai",₹600,11 AM to 10:30 PM,3.1
Mithaas,"7th Floor, Amrapali Platinum Club, Sector 119, Near, Sector 72, Noida","North Indian, Chinese, South Indian",₹650,"7 AM to 10 AM, 12 Noon to 3 PM, 7 PM to 11 PM",2.9
Swad,"Corporate Suites, C 30/4, Sector 62, Noida","North Indian, Chinese, Continental",₹900,11 AM to 11 PM,3.2
Al Kareem,"204 F S Plaza, Jagat Farm, Greater Noida, Noida","North Indian, Chinese",₹850,10 AM to 10 PM,2.6
Evergreen Sweets,"Omega 1, Oposite AWHO Apartment, Greater Noida, Noida","South Indian, Fast Food, Street Food, Desserts",₹250,8 AM to 11 PM,3.1
Darbari Jaika,"Vinayak Plaza Am-O1 Ansal Golf Link -O1 ,P2, Greater Noida, Noida","North Indian, South Indian, Chinese",₹650,12 Noon to 12 Midnight,2.8
Maya the Illusion -  Knights Chaska,"201-207, 2nd Floor, Ansal Plaza Mall, Greater Noida, Noida",Finger Food,"₹1,800",9 AM to 11 PM,3.2
Aggarwal Bikaneri Sweets,"Opposite Wave Silver Tower, Main Atta Market, Sector 27, Noida","North Indian, South Indian, Chinese, Street Food, Mithai",₹400,24 Hours,2.9
Healthy Food,"C 6, Opposite Shiv Mandir, Sector 56, Noida","North Indian, Mughlai, Chinese",₹700,9 AM to 9 PM,-
Perk n Puff,"Shop 49-50, 1st Floor, SNG Plaza, Greater Noida, Noida",Fast Food,₹700,12 Noon to 11 PM,2.9
Knights Chaska,"201 to 207, Second Floor, Ansal Plaza Mall, Greater Noida, Noida","North Indian, Chinese",₹800,9 AM to 10 PM,3.1
Subway,"Ground Floor, Tower 2, Plot 7, Advant IT Park, Expressway, Sector 142, Near Sector 132, Noida","American, Fast Food, Salad, Healthy Food",₹500,12 Noon to 11 PM,2.9
Handi,"Shop 21, Amarpali Zodiac, Sector 72, Noida","North Indian, Chinese",₹850,11 AM to 11 PM,2.9
Roshni's The Diners,"204, FS Plaza, Jagat Farm, Greater Noida, Noida","North Indian, Chinese",₹600,11 AM to 11 PM,-
Cubes,"Sigma Towers, Sector 44, Noida","Chinese, Continental, Italian",₹700,9 AM to 9 PM,2.9
The Dhaba,"GF 28, City Plaza, Gaur City, Sector 4, Noida","North Indian, Chinese",₹500,11:30 AM to 11 PM,-
Tea Lounge - Jaypee Greens,"Jaypee Greens Golf & Spa Resort, G Block, Surajpur, Noida",Cafe,₹900,12 Noon to 12 Midnight,-
Fun Magic,"Shop 4, Civitech Samprati Market, Sector 77, Near Sector 72, Noida","North Indian, Chinese",₹500,11 AM to 11 PM,-
Patiala Darbar,"LG-07, Amrapali Sapphire, Phase-1 Commercial, Sector 45, Noida","Mughlai, Chinese, Lebanese",₹800,10 AM to 11 PM,-
Buddha Xpress,"C 88 B, Sector 8, Noida","Japanese, Chinese, Thai","₹1,000",8 AM to 11:30 PM,-
Zizo,"405-406, 3rd Floor, DLF Mall Of India, Sector 18, Noida","Lebanese, Mediterranean, Middle Eastern, Arabian","₹1,600",1 PM to 9 PM,-
Bean Machine & Co.,"Lounge 121, Homes 121, Sector 121, Near Sector 71, Noida","Cafe, Mexican, American, Italian",₹350,11 AM to 11 PM,-
